,time,departure,arrival,time_format
1,5.3,VAIKKOM,THAVANAKADAVU,5.18.00
2,6,THAVANAKADAVU,VAIKKOM,6.00.00
3,6.2,VAIKKOM,THAVANAKADAVU,6.12.00
4,6.4,THAVANAKADAVU,VAIKKOM,6.24.00
5,7,VAIKKOM,THAVANAKADAVU,7.00.00
6,7.2,THAVANAKADAVU,VAIKKOM,7.12.00
7,7.4,VAIKKOM,THAVANAKADAVU,7.24.00
8,8,THAVANAKADAVU,VAIKKOM,8.00.00
9,8.2,VAIKKOM,THAVANAKADAVU,8.12.00
10,8.4,THAVANAKADAVU,VAIKKOM,8.24.00
11,9,VAIKKOM,THAVANAKADAVU,9.00.00
12,9.2,THAVANAKADAVU,VAIKKOM,9.12.00
13,9.4,VAIKKOM,THAVANAKADAVU,9.24.00
14,10,THAVANAKADAVU,VAIKKOM,10.00.00
15,10.2,VAIKKOM,THAVANAKADAVU,10.12.00
16,10.4,THAVANAKADAVU,VAIKKOM,10.24.00
17,11,VAIKKOM,THAVANAKADAVU,11.00.00
18,11.2,THAVANAKADAVU,VAIKKOM,11.12.00
19,11.4,VAIKKOM,THAVANAKADAVU,11.24.00
20,12,THAVANAKADAVU,VAIKKOM,12.00.00
21,12.2,VAIKKOM,THAVANAKADAVU,12.12.00
22,12.4,THAVANAKADAVU,VAIKKOM,12.24.00
23,14,VAIKKOM,THAVANAKADAVU,14.00.00
24,14.2,THAVANAKADAVU,VAIKKOM,14.12.00
25,14.4,VAIKKOM,THAVANAKADAVU,14.24.00
26,15,THAVANAKADAVU,VAIKKOM,15.00.00
27,15.2,VAIKKOM,THAVANAKADAVU,15.12.00
28,15.4,THAVANAKADAVU,VAIKKOM,15.24.00
29,16.2,VAIKKOM,THAVANAKADAVU,16.12.00
30,16.4,THAVANAKADAVU,VAIKKOM,16.24.00
31,17,VAIKKOM,THAVANAKADAVU,17.00.00
32,17.2,THAVANAKADAVU,VAIKKOM,17.12.00
33,17.4,VAIKKOM,THAVANAKADAVU,17.24.00
34,18,THAVANAKADAVU,VAIKKOM,18.00.00
35,18.2,VAIKKOM,THAVANAKADAVU,18.12.00
36,18.4,THAVANAKADAVU,VAIKKOM,18.24.00
37,19,VAIKKOM,THAVANAKADAVU,19.00.00
38,19.2,THAVANAKADAVU,VAIKKOM,19.12.00
39,19.4,VAIKKOM,THAVANAKADAVU,19.24.00
40,20,THAVANAKADAVU,VAIKKOM,20.00.00
41,20.2,VAIKKOM,THAVANAKADAVU,20.12.00
42,20.4,THAVANAKADAVU,VAIKKOM,20.24.00
43,21,VAIKKOM,THAVANAKADAVU,21.00.00
44,21.2,THAVANAKADAVU,VAIKKOM,21.12.00
